Animal ID,Animal Type,Total Days,Excluded Days,LOS,Age (years),Incoming Source,Incoming Date,Incoming Region,Status Date,Outgoing Eval Cat
529162,Rabbit,15.15,0,15.15,0,Owner Surrender,05/27/2021 12:23,Cowichan & District Branch,06/11/2021 15:59,TR
506855,Rabbit,15.15,0,15.15,0,Owner Surrender,02/10/2020 12:09,East Kootenay Branch,02/25/2020 15:48,UU
467247,Rabbit,15.14,0,15.14,4,Stray,07/30/2018 09:49,Victoria Branch,08/14/2018 13:06,TR
467248,Rabbit,15.14,0,15.14,4,Stray,07/30/2018 09:49,Victoria Branch,08/14/2018 13:06,TR
425134,Rabbit,15.12,0,15.12,0,Owner Surrender,02/03/2017 11:39,Williams Lake & District Branch,02/18/2017 14:26,H
444931,Rabbit,15.08,0,15.08,0,Stray,10/02/2017 14:11,Kelowna Branch,10/17/2017 16:06,H
497705,Rabbit,15.08,0,15.08,0,Returns,12/27/2019 11:04,Surrey Education & Adoption Centre,01/11/2020 13:04,H
432166,Rabbit,15.08,0,15.08,0,Owner Surrender,05/10/2017 10:33,Victoria Branch,05/25/2017 12:22,TR
432167,Rabbit,15.08,0,15.08,0,Owner Surrender,05/10/2017 10:33,Victoria Branch,05/25/2017 12:22,TR
513371,Rabbit,15.06,0,15.06,0,Owner Surrender,07/08/2020 12:18,North Peace Branch,07/23/2020 13:38,H
444929,Rabbit,15.05,0,15.05,0,Stray,10/02/2017 14:11,Kelowna Branch,10/17/2017 15:19,H
492676,Rabbit,15.05,0,15.05,3,Owner Surrender,07/19/2019 11:00,Maple Ridge Branch,08/03/2019 12:15,TR
490411,Rabbit,21.16,6.13,15.03,1,ACO Impound,06/20/2019 13:13,Burnaby Branch,07/11/2019 17:04,H
530227,Rabbit,53.08,38.09,14.99,3,Owner Surrender,06/15/2021 13:09,Cowichan & District Branch,08/07/2021 15:11,H
520981,Rabbit,92.15,77.16,14.99,0,Cruelty Case Offspring,11/27/2020 08:53,Vernon & District Branch,02/27/2021 12:29,TR
520985,Rabbit,92.15,77.16,14.99,0,Cruelty Case Offspring,11/27/2020 08:53,Vernon & District Branch,02/27/2021 12:29,TR
481505,Rabbit,14.98,0,14.98,5,Returns,11/16/2021 13:49,Cowichan & District Branch,12/01/2021 14:13,H
423141,Rabbit,14.95,0,14.95,2,Stray,01/07/2017 15:03,Kelowna Branch,01/22/2017 13:44,TR
475395,Rabbit,14.92,0,14.92,8,Stray,11/12/2018 15:07,West Vancouver Branch,11/27/2018 13:15,TM
